bssid,ssid,lat,lon,obs_count,last_seen,sqlite_filename
AC:DF:9F:9E:F0:12,TMOBILE-F010,43.024413669225225,-83.69631837019105,359,2024-04-30 09:53:43+00,s22.sqlite
04:D5:90:A4:E1:71,CRMobile,43.02377443411197,-83.69318051825246,351,2025-11-02 22:56:27+00,j24.sqlite
B2:8B:A9:6F:6B:A5,CC - Guest,43.02358716937804,-83.69353406230981,322,2025-11-02 22:55:38+00,s22.sqlite
B2:8B:A9:5D:FA:D6,CC - Guest,43.02377099202875,-83.69515988566407,316,2025-11-03 17:44:08+00,j24.sqlite
F8:A0:97:B1:16:6E,HOME-E18E,43.02404065708006,-83.69778753132144,306,2024-11-10 00:52:45+00,s22.sqlite
18:A5:FF:E1:EA:26,Schrodinger,43.02417412812794,-83.69762656668068,294,2025-08-12 14:25:34+00,g63.sqlite
88:DC:96:94:09:B0,CCConferenceCenter,43.02375634674867,-83.69318592274001,286,2025-11-02 22:57:11+00,s22.sqlite
E6:BF:FA:BE:65:BA,MLK,43.02298452222832,-83.69730196300303,286,2024-10-08 21:26:44+00,j24.sqlite
A0:63:91:D6:67:49,Vogts Wireless,43.02229488534448,-83.69767935571932,272,2025-10-21 07:13:07+00,j24.sqlite
BA:8B:A9:6F:6B:A5,FACT,43.02363703288362,-83.69370084638102,264,2025-11-02 22:57:11+00,j24.sqlite
00:0D:67:91:34:E6,xfinitywifi,43.02396756171789,-83.695052634796,262,2025-11-02 22:51:19+00,s22.sqlite
00:0D:67:91:34:E5,OutOfService,43.023966336411185,-83.69493773564606,257,2025-11-02 22:49:33+00,j24.sqlite
00:0D:67:91:34:E7,OutOfService,43.02397748801556,-83.69503805952922,251,2025-11-02 22:50:32+00,j24.sqlite
42:75:C3:F6:A5:B1,NoWifiHere,43.02369679207666,-83.69618874719458,250,2024-04-30 09:53:43+00,s22.sqlite
3E:2D:9E:CA:38:1A,I_Dont_Know,43.023491857685826,-83.6958856786568,246,2025-11-09 04:06:35+00,g63.sqlite
20:9C:B4:77:3C:A1,P2d8T7f2d$,43.02407425861394,-83.69169580104663,241,2025-10-19 01:17:06+00,s22.sqlite
8C:76:3F:A3:78:ED,Bubba,43.024055833801924,-83.69603746638887,230,2024-04-29 13:58:07+00,s22.sqlite
AC:DF:9F:0E:7F:08,TMOBILE-7F06,43.024335765385445,-83.69770193423395,227,2024-06-06 18:04:05+00,s22.sqlite
AC:8B:A9:6F:B2:5D,CC - Internal,43.023666937912374,-83.69323403758898,224,2025-10-21 06:45:39+00,j24.sqlite
BA:8B:A9:5D:FA:D6,FACT,43.023706349201326,-83.69527705994895,219,2025-10-28 01:30:10+00,g63.sqlite
54:07:7D:BC:9E:DF,OBGBP,43.0159556032951,-83.69085701094266,212,2025-10-17 06:02:18+00,j24.sqlite
32:24:A9:F9:8C:E4,DIRECT-e4-HP 1200 Neverstop,43.0221,-83.695895,208,2025-01-30 07:04:28+00,j24.sqlite
18:A5:FF:1C:D3:12,TMOBILE-D310,43.021595570485985,-83.6969156615554,208,2025-10-28 19:16:42+00,s22.sqlite
88:DC:96:5C:E2:66,CCSGC-CFH,43.02364237420055,-83.69546503263561,200,2024-04-28 12:46:34+00,s22.sqlite
34:68:95:0E:82:43,HP-Print-43-Color LaserJet MFP,43.02242846469112,-83.69789949497724,197,2025-10-27 06:25:29+00,j24.sqlite
A2:05:D6:C9:49:83,CC - Guest,43.02337387714226,-83.69482683344376,194,2025-10-22 05:50:00+00,g63.sqlite
AA:05:D6:C9:49:83,OS,43.02337387714226,-83.69482683344376,192,2025-10-22 05:50:00+00,g63.sqlite
A2:05:D6:C8:45:AD,HFRCC - Guest,43.02344341775375,-83.6951443650712,181,2025-10-21 06:45:28+00,g63.sqlite
9C:05:D6:C9:49:83,CC - Internal,43.02337387714226,-83.69482683344376,179,2025-10-22 05:49:57+00,g63.sqlite
00:02:6F:BD:AF:AB,Luke2,43.01406979211512,-83.68925500389136,179,2025-10-16 18:20:09+00,s22.sqlite
2C:95:69:E4:0C:E2,Debra,43.02259421906406,-83.69758491651255,178,2025-10-21 06:46:06+00,j24.sqlite
9C:05:D6:C8:45:AD,HFRCC - Internal,43.02344341775375,-83.6951443650712,176,2025-10-21 06:45:28+00,g63.sqlite
AC:DF:9F:A6:DD:74,TMOBILE-DD72,43.02413145769976,-83.69439316246817,174,2025-11-02 22:50:35+00,s22.sqlite
88:DC:96:31:C3:E0,CCSGC-FL-BM,43.024206424509444,-83.69470039760292,168,2025-08-27 01:20:35+00,s22.sqlite
88:DC:96:6B:2E:B0,CCSGC-FL,43.024424367392335,-83.69523144906006,163,2024-06-05 17:04:59+00,s22.sqlite
A4:98:13:30:9F:E0,ATTIUhCjUI,43.02304523709557,-83.69755366748333,162,2025-10-21 03:05:24+00,j24.sqlite
D4:20:B0:29:B1:02,MGuest,43.023211125900076,-83.69224953836651,157,2025-11-02 22:51:08+00,s22.sqlite
B0:5D:D4:D8:1B:10,ATT4Ewj8CR,43.02388402000183,-83.69167223211605,153,2025-07-22 00:57:37+00,s22.sqlite
AC:8B:A9:5E:86:8A,CC - Internal,43.024452046990966,-83.69487194407841,152,2025-09-15 01:19:01+00,s22.sqlite
BA:8B:A9:6F:B2:5D,FACT,43.02354509527226,-83.6939918057417,150,2025-10-21 06:45:45+00,j24.sqlite
88:57:1D:75:68:4A,[fridge]_E30AJT5133479W,43.02380019558187,-83.69608232412995,148,2024-06-04 02:27:27+00,s22.sqlite
D4:AB:82:6D:53:38,allen7765,43.02398331262727,-83.69731721645736,145,2025-01-30 01:42:24+00,j24.sqlite
20:9C:B4:77:BB:00,P2d8T7f2d$,43.02407462401816,-83.69172904174194,144,2025-10-19 01:10:58+00,s22.sqlite
18:A5:FF:41:28:8C,OBGBP-TM,43.01592985016148,-83.69080889852142,136,2025-10-25 22:03:09+00,j24.sqlite
02:16:78:C0:FD:54,Johnson House WiFi-2.4G-ext,43.023215,-83.69683333333333,134,2024-06-16 01:49:44+00,s22.sqlite
DE:A0:50:EE:CA:A1,Mike's Guest Network,43.02416538879705,-83.69758151808256,134,2025-10-21 00:47:33+00,s22.sqlite
54:A2:74:96:BF:F5,DGE,42.98402102357835,-83.74908716182775,132,2024-04-27 22:45:09+00,s22.sqlite
20:9C:B4:78:71:80,P2d8T7f2d$,43.02434681005433,-83.69174435794041,131,2025-10-19 01:11:35+00,s22.sqlite
A4:97:33:92:AC:14,JohnsonFamily2G,43.02268842134212,-83.69968945289762,128,2025-10-21 00:43:08+00,j24.sqlite
54:A2:74:96:BF:F4,Target Guest Wi-Fi,42.983936059144185,-83.74870722636453,125,2024-04-27 22:45:14+00,s22.sqlite
D0:17:C2:E9:4E:10,Piper Legal,43.015130455508704,-83.68988683159334,122,2025-10-17 02:09:16+00,s22.sqlite
54:A2:74:D3:73:A4,Target Guest Wi-Fi,42.983975768037816,-83.74842667730042,122,2024-04-27 22:41:26+00,s22.sqlite
54:A2:74:D3:73:A5,DGE,42.983975768037816,-83.74842667730042,121,2024-04-27 22:41:26+00,s22.sqlite
54:A2:74:D5:11:04,Target Guest Wi-Fi,42.98377676015062,-83.7486105356014,120,2024-04-27 22:26:20+00,s22.sqlite
54:A2:74:D5:11:05,DGE,42.98377676015062,-83.7486105356014,120,2024-04-27 22:26:20+00,s22.sqlite
AC:8B:A9:6F:C6:7D,CC - Internal,43.02441718388871,-83.69531536763003,120,2025-08-04 01:58:54+00,j24.sqlite
0C:8D:DB:6F:71:B3,Corp User Net,43.02342945583234,-83.69509397557056,118,2025-10-21 06:46:28+00,s22.sqlite
20:9C:B4:78:71:81,DM-Corp,43.02432667708265,-83.69174123589852,117,2025-10-19 01:14:08+00,s22.sqlite
BC:64:4B:12:37:2B,Flintballout,43.024433685779364,-83.69751608344255,115,2024-06-05 17:05:36+00,s22.sqlite
C4:E5:32:DD:19:4C,monica,43.023941348819896,-83.69248322470331,114,2025-10-19 01:19:58+00,s22.sqlite
10:93:97:0A:87:D0,ATTqfPaCcI,43.02391099130614,-83.69182510466906,113,2025-08-04 01:53:27+00,s22.sqlite
18:A5:FF:51:11:2A,SLICE,43.0221773479948,-83.69853297272681,109,2025-10-18 20:29:12+00,j24.sqlite
40:70:09:12:26:E0,HOME-26E2,43.0244828500977,-83.69636147215098,109,2024-10-10 20:32:30+00,s22.sqlite
C8:99:B2:C7:01:43,FlintSolutions,43.019656208998875,-83.69400947076143,108,2025-10-25 22:03:40+00,s22.sqlite
B2:8B:A9:5E:01:56,CC - Guest,43.0237807,-83.6950772,104,2025-10-26 16:52:25+00,j24.sqlite
00:03:7F:11:20:B1,Therapy1,43.02504471366572,-83.69832612986696,98,2025-10-21 07:17:59+00,s22.sqlite
40:E1:E4:3F:DB:80,TMOBILE-DB77,43.01206889744334,-83.68762190856721,97,2025-10-12 03:01:49+00,j24.sqlite
00:CB:7A:57:A9:60,CBCI-A95C,43.02344157954602,-83.69687986956916,97,2024-04-20 15:23:28+00,s22.sqlite
78:F2:9E:16:DF:C8,KountryTime,43.022950821295275,-83.69744019795905,94,2025-10-09 22:08:59+00,j24.sqlite
10:93:97:05:69:20,ATT7jkH4w3,43.017549299102534,-83.69210098568837,92,2025-10-17 05:17:23+00,s22.sqlite
24:41:FE:27:B2:52,Verizon_V7MXQV,43.02348427752263,-83.69695597329667,90,2025-04-15 20:07:12+00,j24.sqlite
88:DC:96:5C:E2:63,CCSGC-CFH,43.02362183874347,-83.69477128525764,87,2024-11-26 22:53:21+00,j24.sqlite
54:47:CC:45:DE:A6,TMOBILE-DEA1,43.015838871075935,-83.69073958550037,86,2025-10-16 18:31:05+00,j24.sqlite
B4:FB:E4:D7:3D:FF,Carriage Town Ministries,43.02077740424239,-83.69687273482741,84,2025-10-09 21:42:44+00,j24.sqlite
B6:8B:A9:5E:86:8A,CC - Guest,43.024392909492775,-83.69466590701293,83,2025-09-15 01:19:34+00,j24.sqlite
BA:FB:E4:D7:3D:FF,Carriage Town Guest,43.02077740424239,-83.69687273482741,83,2025-10-09 21:42:44+00,s22.sqlite
18:A5:FF:77:4E:B4,SIPI2,43.02025760612653,-83.69433801603046,82,2025-10-17 06:00:30+00,j24.sqlite
BA:8B:A9:5E:86:8A,CC - Guest,43.024452046990966,-83.69487194407841,81,2025-10-11 13:00:02+00,s22.sqlite
AC:8B:A9:6F:6C:09,CC - Internal,43.02400666666667,-83.69519333333334,81,2025-09-09 17:01:23+00,s22.sqlite
C8:9E:43:58:B8:76,BRN Network,43.02301113523821,-83.69577367959013,79,2025-10-21 04:41:50+00,s22.sqlite
60:02:92:92:93:90,Livewest26,43.024070720310995,-83.69314024943718,78,2025-08-27 01:19:47+00,j24.sqlite
E4:4E:2D:E6:40:20,frontlinewifi,43.02255965049515,-83.69261698189285,78,2025-10-21 04:42:50+00,s22.sqlite
A8:70:5D:C1:65:A7,rtcool,43.02415333333333,-83.69763499999999,78,2025-06-09 19:21:22+00,s22.sqlite
94:A6:7E:54:C6:3C,SH48501QzT1,43.021265909750284,-83.69491147103146,76,2025-08-31 00:56:39+00,s22.sqlite
CC:A4:62:93:C0:20,HOME-C022,43.024483242033476,-83.6978105733041,74,2024-06-05 17:39:01+00,s22.sqlite
00:18:0A:7A:9C:BF,Flint,43.021304308635365,-83.69370547304644,72,2025-10-21 04:42:53+00,j24.sqlite
E8:9F:80:45:C4:C5,Gla wifi 2,43.01601801442342,-83.69029661329687,72,2025-10-17 02:11:06+00,s22.sqlite
B6:8B:A9:6F:C6:7D,CC - Guest,43.02457561993162,-83.69551827743854,71,2025-08-04 01:59:58+00,j24.sqlite
4C:22:F3:38:5F:87,Verizon_47SG9J,43.021437255998215,-83.69528259445858,71,2025-10-17 06:02:54+00,s22.sqlite
CC:35:40:59:4D:D9,HOME-4DD9,43.024442689858326,-83.69693871625113,71,2024-06-05 17:05:23+00,s22.sqlite
EC:AA:A0:FB:81:18,Here,43.02397976914912,-83.69234092694283,71,2025-10-16 07:16:03+00,s22.sqlite
CC:03:FA:70:73:C4,HOME-73C4,43.02393125118541,-83.69282609359759,70,2025-10-11 13:01:02+00,s22.sqlite
5C:5B:35:E5:12:36,mprotek,42.94615535226578,-83.72756735780416,70,2025-10-11 23:34:38+00,j24.sqlite
FE:01:7C:72:A5:0B,DIRECT-0b-HP M254 LaserJet,43.01737691131334,-83.69179286583069,69,2025-10-17 05:30:18+00,s22.sqlite
54:E0:19:04:73:EA,Ring Setup ea,43.02351534398466,-83.69688006600298,68,2025-10-16 21:21:07+00,s22.sqlite
BA:8B:A9:6F:C6:7D,CC - Guest,43.02441718388871,-83.69531536763003,67,2025-08-04 01:58:54+00,s22.sqlite
00:19:9D:FF:0B:95,Effie,43.020407949628485,-83.69465039271762,65,2025-10-25 22:04:18+00,s22.sqlite
AC:DF:9F:A4:D4:2E,TMOBILE-D42C,43.02399469839703,-83.69330392017804,65,2024-06-01 15:19:17+00,s22.sqlite
5C:5B:35:E5:12:31,paxar,42.94615535226578,-83.72756735780416,65,2025-10-11 23:35:20+00,j24.sqlite
5C:5B:35:E5:12:35,meijer-vendor,42.94615535226578,-83.72756735780416,64,2025-10-11 23:34:38+00,j24.sqlite
E4:4E:2D:E6:21:20,frontlinewifi,43.02022451181313,-83.69367717907642,64,2025-10-17 05:59:29+00,j24.sqlite
5C:5B:35:E5:0C:61,paxar,42.94632003825101,-83.72850856446634,63,2025-10-11 23:35:00+00,j24.sqlite
82:E8:2C:5A:73:5F,DIRECT-5F-HP OfficeJet Pro 9010,43.022015368461716,-83.69606335823252,63,2025-10-17 06:05:30+00,s22.sqlite
5A:AF:97:2F:92:3C,TFGF Guest 2.4ghz,43.015721624782394,-83.6906482879222,62,2025-10-17 05:25:17+00,s22.sqlite
30:57:8E:1B:01:66,reed,43.01994235846029,-83.69379677942787,62,2025-10-17 05:59:25+00,s22.sqlite
18:90:88:58:A6:C6,Infected,43.02016454207897,-83.69421477265054,60,2025-10-17 05:59:41+00,s22.sqlite
64:67:72:3D:B5:3C,McNair,43.024425413703774,-83.69625042570186,60,2025-10-21 06:58:03+00,j24.sqlite
C0:D7:AA:D9:FD:A9,LombardiWifi,43.02516911352318,-83.69336746853814,60,2025-11-02 22:52:03+00,j24.sqlite
58:68:7A:15:80:86,weefee,43.0241558262637,-83.69756554196012,59,2024-06-06 18:03:29+00,s22.sqlite
EA:9E:B4:23:F1:09,DIRECT-09-HP M281 LaserJet,43.023698333333336,-83.69321666666669,59,2025-10-19 01:24:45+00,s22.sqlite
54:AF:97:2F:92:3C,TFGF Office 2.4ghz,43.015949107657335,-83.69086064711576,58,2025-10-17 05:35:41+00,s22.sqlite
DC:EB:69:41:7C:91,TrayPack,43.02364333333333,-83.696745,58,2024-06-04 02:58:20+00,s22.sqlite
5C:5B:35:E5:0C:62,red5,42.94620851012371,-83.72859350321839,58,2025-10-11 23:35:00+00,j24.sqlite
18:A5:FF:0D:26:56,TMOBILE-2654,43.021341666666665,-83.69513666666666,57,2025-04-29 23:49:26+00,s22.sqlite
94:3C:96:EE:83:D6,TMOBILE-83D1,43.01428276726438,-83.68924269491951,57,2025-10-12 04:59:12+00,s22.sqlite
E4:4E:2D:E0:1E:A0,frontlinewifi,43.02056410033694,-83.69262580251561,57,2025-10-21 06:36:00+00,s22.sqlite
AA:93:4A:A6:00:AE,DIRECT-ae-HP M209 LaserJet,43.01461002769799,-83.68961391760098,57,2025-10-12 04:07:22+00,s22.sqlite
10:C4:CA:3C:89:84,ATT8Fnqzm8,43.024175482405056,-83.69441643798169,56,2025-09-08 01:06:58+00,s22.sqlite
E4:4E:2D:E6:1D:20,frontlinewifi,43.01947692788214,-83.69346998951472,55,2025-10-17 05:56:57+00,s22.sqlite
88:AD:43:25:BD:98,Williams,43.024485406786475,-83.69616358666254,55,2024-10-10 22:51:33+00,j24.sqlite
5C:5B:35:E5:0C:65,meijer-vendor,42.94620851012371,-83.72859350321839,54,2025-10-11 23:35:00+00,j24.sqlite
BC:0F:F3:B8:A1:73,DIRECT-72-HP DeskJet 4200 series,43.02010330910993,-83.69441910315469,54,2025-10-17 06:01:04+00,j24.sqlite
36:6F:24:B4:0C:97,onn 5_1_2 SOUNDBAR_283713BCF467,43.01972067057484,-83.69408589357428,54,2025-10-17 06:00:22+00,s22.sqlite
D4:20:B0:86:F3:84,mprotek,42.94602652551902,-83.72916017631633,54,2025-10-11 23:35:07+00,j24.sqlite
3C:7A:8A:91:0C:C6,Gip Gip,43.02635543290424,-83.69728710420073,53,2024-06-04 00:17:11+00,s22.sqlite
60:22:32:EE:94:5E,CC - Internal,43.02402584192137,-83.69531768274696,53,2025-09-09 17:01:26+00,j24.sqlite
30:87:D9:23:3A:E8,Capitol-Internal,43.016997552545455,-83.68964814198611,53,2025-10-21 06:36:12+00,s22.sqlite
78:8C:B5:37:0D:7A,TP-Link_0D7A,43.00873534276862,-83.68594283617303,53,2025-10-11 21:01:13+00,s22.sqlite
F8:2D:C0:78:37:20,ATT4i4h84I,43.024334044833765,-83.69769538404002,52,2025-06-05 00:09:51+00,j24.sqlite
D4:20:B0:86:F3:81,paxar,42.94602652551902,-83.72916017631633,52,2025-10-11 23:35:20+00,j24.sqlite
A8:70:5D:10:17:64,Kittens Apartment,43.02148385693003,-83.69709614109642,52,2025-10-21 00:42:52+00,s22.sqlite
18:A5:FF:1C:A4:0E,TMOBILE-A40C,43.0264114069623,-83.69604136128527,50,2025-10-21 05:13:09+00,j24.sqlite
54:47:CC:45:DE:A7,TMOBILE-DEA1,43.015946532313,-83.69092312627888,50,2025-10-16 18:29:38+00,j24.sqlite
10:86:8C:2A:83:D6,Cleo 2019,43.024561754794014,-83.69642554338398,50,2025-08-09 23:51:43+00,s22.sqlite
00:18:05:24:6B:04,techtrex,43.018192628623815,-83.69281758506582,47,2025-10-17 05:56:09+00,s22.sqlite
00:AC:E0:E0:9A:60,HOME-9A62,43.025995668244654,-83.6972797061123,47,2025-08-09 23:50:58+00,s22.sqlite
80:B9:7A:63:3A:E6,Apt,43.02041442425541,-83.69465978723959,47,2025-10-17 06:01:18+00,s22.sqlite
18:0C:7A:22:89:76,TMOBILE-8971,43.0219678731869,-83.6925182601774,46,2025-10-17 06:01:02+00,j24.sqlite
70:A7:41:C9:DE:BD,CCG,43.016681560132795,-83.6903650213223,46,2025-10-17 05:32:55+00,s22.sqlite
B6:8B:A9:6F:6C:09,CC - Guest,43.02410166666667,-83.69533000000001,45,2025-09-15 01:14:59+00,j24.sqlite
78:F2:9E:E6:91:68,APT 501 Jeans,43.01582632050786,-83.69072250577013,45,2025-10-16 18:26:46+00,j24.sqlite
90:D0:92:40:C1:C4,ATTSN4mNZb,43.016848015194725,-83.68925404145958,45,2024-11-10 00:37:59+00,j24.sqlite
AC:DF:9F:65:0E:A6,mr.hoey_79,43.02629152504935,-83.69471766630569,45,2025-08-10 22:07:15+00,s22.sqlite
3C:82:C0:71:80:24,CBCI-8020,43.016812056574594,-83.69159675128124,45,2025-10-13 00:20:07+00,s22.sqlite
5C:5B:35:DD:35:F2,red5,42.94619380257932,-83.72837186371791,45,2025-10-11 22:36:31+00,j24.sqlite
E0:70:EA:5A:56:65,DIRECT-64-HP OfficeJet 250,43.024464746766014,-83.69391967128884,45,2024-06-01 14:53:41+00,s22.sqlite
D4:20:B0:86:F3:83,meijer-vendor,42.94602652551902,-83.72916017631633,44,2025-10-11 23:35:07+00,j24.sqlite
30:B6:2D:50:21:C1,Italia Gardens Public WiFi,42.98707785944583,-83.74121710427724,44,2025-10-11 21:06:47+00,j24.sqlite
30:57:8E:3C:11:26,Mary's Network,43.01958891556145,-83.69369927843643,44,2025-10-17 05:58:45+00,s22.sqlite
F6:E2:C6:36:6E:F5,Philpott IOT,43.01723372255039,-83.69164704775034,43,2025-10-17 05:56:01+00,s22.sqlite
88:DC:96:22:8E:0E,CCSGC-FL ,43.02486449827438,-83.69464530643637,43,2024-06-01 15:18:22+00,s22.sqlite
AC:DF:9F:40:28:D8,TMOBILE-28D6,42.99448194841065,-83.67738366543325,42,2025-10-11 20:58:07+00,s22.sqlite
8C:76:3F:19:6B:D5,Brown,43.0157538145877,-83.6906803912186,42,2025-10-12 02:52:38+00,j24.sqlite
9C:57:BC:24:B7:E6,kusky services,43.020320695734114,-83.69437842207803,42,2025-10-17 06:00:49+00,j24.sqlite
5C:5B:35:DE:F2:52,red5,42.9462032326698,-83.72827873061142,40,2025-10-11 23:13:34+00,j24.sqlite
BA:FB:E4:4A:97:CD,Carriage Town Guest,43.02065701310983,-83.69675761330082,40,2025-10-09 21:42:57+00,s22.sqlite
5C:5B:35:E4:F2:82,red5,42.94632957406072,-83.728037880745,40,2025-10-11 23:36:10+00,j24.sqlite
84:39:8F:44:37:88,OLHSAHeadStart,43.022146903745686,-83.69587664968181,39,2025-10-17 06:07:00+00,s22.sqlite
90:9D:7D:A0:3D:D5,HOME-6AC2,43.02492780944576,-83.69467633969346,39,2024-04-30 02:42:56+00,s22.sqlite
00:14:3E:AF:1F:40,SAS_AP_131,43.02312527801889,-83.69582801837655,39,2025-10-21 07:10:03+00,j24.sqlite
74:85:2A:B1:12:00,CBCI-F065-2.4,43.02004333333333,-83.69348666666669,39,2025-10-17 02:06:29+00,s22.sqlite
BA:8B:A9:6F:6C:09,CC - Guest,43.02400666666667,-83.69519333333334,39,2025-09-09 17:01:41+00,s22.sqlite
0C:83:CC:C2:71:52,tlc27152,43.02444386121137,-83.69725788096312,38,2024-10-06 17:19:44+00,s22.sqlite
02:2B:4B:D0:5A:CA,HP8EA81E,43.02184102839144,-83.6957631562928,38,2024-04-29 17:31:18+00,s22.sqlite
5C:5B:35:6E:3F:A3,UMF-GAMING,43.02025288088604,-83.69444890915264,38,2025-10-17 02:06:29+00,s22.sqlite
B4:FB:E4:4A:97:CD,Carriage Town Ministries,43.02065701310983,-83.69675761330082,38,2025-10-09 21:42:57+00,s22.sqlite
F6:E2:C6:46:6E:F5,Philpott Guest,43.017180442673414,-83.69094217295344,38,2025-10-17 05:56:01+00,j24.sqlite
74:85:2A:57:60:A0,MsD,43.025436206046315,-83.69334058186995,38,2025-09-27 16:36:02+00,j24.sqlite
88:DC:96:5C:E2:60,CCSGC-CFH,43.02332166666667,-83.69493499999999,38,2024-11-26 22:57:22+00,s22.sqlite
5C:5B:35:62:53:21,paxar,42.94691022073073,-83.72816438487199,38,2025-10-11 22:59:00+00,j24.sqlite
5C:5B:35:62:53:22,red5,42.94691022073073,-83.72816438487199,38,2025-10-11 22:59:00+00,j24.sqlite
5C:5B:35:DF:09:F6,mprotek,42.94638689010546,-83.72895070969378,38,2025-10-11 22:36:05+00,j24.sqlite
88:96:4E:EF:1E:C0,ATTBcvVwBA,43.01566789828322,-83.68822456214188,37,2025-10-16 18:23:38+00,j24.sqlite
BE:46:9D:38:B3:B2,GENCO-IOT,43.01421088048109,-83.68916581826485,37,2025-10-12 02:50:52+00,s22.sqlite
74:AC:B9:B7:8E:C7,Flint Masonic - Guest,43.013237033183366,-83.68865298385747,37,2025-10-12 04:46:27+00,s22.sqlite
AE:46:9D:38:B3:B2,Genesee County Guest,43.01421088048109,-83.68916581826485,36,2025-10-12 02:50:46+00,s22.sqlite
30:B6:2D:50:21:C0,Italia Gardens Private WiFi,42.98767032397955,-83.74195459934795,36,2025-09-06 20:51:58+00,j24.sqlite
30:67:A1:22:D3:26,TMOBILE-D321,43.02409833333333,-83.69358333333334,36,2025-08-27 01:19:43+00,s22.sqlite
5C:5B:35:6E:3F:AA,DCS Imaging,43.02004127848808,-83.69364533442177,36,2025-10-17 02:07:25+00,s22.sqlite
5C:5B:35:DD:36:56,mprotek,42.946534304360824,-83.72826604506487,36,2025-10-11 22:36:48+00,j24.sqlite
5C:5B:35:DF:0F:02,red5,42.94663201354905,-83.72810264892406,35,2025-10-11 22:41:17+00,j24.sqlite
C2:B5:D7:AF:33:13,DIRECT-13-HP M281 LaserJet,43.022615820690184,-83.69600529061135,35,2025-09-14 16:46:39+00,s22.sqlite
68:72:51:50:4D:4C,Sign,42.98022888470172,-83.67411958664155,35,2025-10-11 20:49:01+00,s22.sqlite
5C:5B:35:D8:E3:21,paxar,42.94678510176362,-83.72801918377094,35,2025-10-11 22:36:27+00,j24.sqlite
62:E6:F0:C4:AB:5B,Edward,42.99470106499871,-83.70767110725217,35,2025-08-03 23:29:03+00,s22.sqlite
AE:E2:D3:C7:B2:F5,DIRECT-F5-HP OfficeJet Pro 8730,43.01838579271392,-83.69258013157545,35,2025-10-17 03:27:00+00,s22.sqlite
5C:5B:35:DE:F1:96,mprotek,42.9464247929829,-83.72881518895629,35,2025-10-11 23:26:38+00,j24.sqlite
5C:8F:E0:3B:C4:40,HOME-C442,43.02502274036618,-83.69475308564154,35,2025-08-09 23:52:22+00,j24.sqlite
5C:5B:35:DE:EB:96,mprotek,42.946358532862625,-83.72917880928034,35,2025-10-11 23:20:20+00,j24.sqlite
5C:5B:35:DF:0E:71,paxar,42.94664682462982,-83.72799109328284,35,2025-10-11 23:10:04+00,j24.sqlite
A8:46:9D:38:B3:B2,GENCO-PROD,43.01421088048109,-83.68916581826485,34,2025-10-12 02:50:52+00,s22.sqlite
FC:EC:DA:84:A2:8C,Carriage Town Ministries,43.02166241336265,-83.6972441961255,34,2025-10-16 04:48:41+00,j24.sqlite
